Date,Description,Amount,NewDescription,Type
2024-05-16,"BATH & BODY WORKS #6009 TORONTO, ON",11.25,bathbodyworkstorontoon,purchase
2024-05-16,"Uniqlo Canada Toronto, ON",28.25,uniqlocanadatorontoon,purchase
2024-05-21,"TIM HORTONS #4852 BRAMPTON, ON",5.85,timhortonsbramptonon,purchase
2024-05-21,Spotify P2C55BBCD9 Stockholm,6.77,spotifypcbbcdstockholm,purchase
2024-05-21,"PRESTO MOBL TORONTO, ON",20.0,prestomobltorontoon,purchase
2024-05-21,"UBER CANADA/UBEREATS TORONTO, ON",2.0,ubercanadaubereatstorontoon,purchase
2024-05-21,"DAIRY QUEEN #12278 BRAMPTON, ON",11.28,dairyqueenbramptonon,purchase
2024-05-21,"CRAVEABLES MISSISSAUGA, ON",36.0,craveablesmississaugaon,purchase
2024-05-21,"BOSTON PIZZA # 506 MISSISSAUGA, ON",28.96,bostonpizzamississaugaon,purchase
2024-05-21,"UBER CANADA/UBEREATS TORONTO, ON",23.71,ubercanadaubereatstorontoon,purchase
2024-05-21,"PETRO CANADA10503 BRAMPTON, ON",20.0,petrocanadabramptonon,purchase
2024-05-21,"BOSTON PIZZA # 506 MISSISSAUGA, ON",22.72,bostonpizzamississaugaon,purchase
2024-05-22,"VIRGIN PLUS VERDUN, QC",39.55,virginplusverdunqc,purchase
2024-05-22,PAYMENT THANK YOU/PAIEMEN T MERCI,587.1,paymentthankyoupaiementmerci,payment
2024-05-24,"OISHII TEA BRAMPTON, ON",14.84,oishiiteabramptonon,purchase
2024-05-24,"PRESTO MOBL TORONTO, ON",20.0,prestomobltorontoon,purchase
2024-05-27,"RASHMI'S BAKERY BRAMPTON, ON",6.78,rashmisbakerybramptonon,purchase
2024-05-27,"TIM HORTONS #4852 BRAMPTON, ON",7.66,timhortonsbramptonon,purchase
2024-05-27,"TIM HORTONS #4852 BRAMPTON, ON",2.3,timhortonsbramptonon,purchase
2024-05-27,"BASKIN ROBBINS #340180 BRAMPTON, ON",7.38,baskinrobbinsbramptonon,purchase
2024-05-27,"CA WONDERLAND ONLINE 905-832-8131, ON",52.18,cawonderlandonlineon,purchase
2024-05-27,"SQ *HEAVENLY DREAMS ICE C Toronto, ON",11.3,sqheavenlydreamsicectorontoon,purchase
2024-05-31,"STARBUCKS COFFEE #1957 BRAMPTON, ON",25.58,starbuckscoffeebramptonon,purchase
2024-06-03,"STARBUCKS 800-782-7282 800-782-7282, ON",15.0,starbuckson,purchase
2024-06-03,"POPEYES #11962 BRAMPTON, ON",11.29,popeyesbramptonon,purchase
2024-06-03,"PRESTO MOBL TORONTO, ON",20.0,prestomobltorontoon,purchase
2024-06-06,"STARBUCKS 800-782-7282 800-782-7282, ON",15.0,starbuckson,purchase
2024-06-06,"DISNEY PLUS 1 800727-1800, CA",13.55,disneyplusca,purchase
2024-06-06,"AROMA ESPRESSO BAR NORTH YORK, ON",6.5,aromaespressobarnorthyorkon,purchase
2024-06-10,"OISHII TEA BRAMPTON, ON",14.84,oishiiteabramptonon,purchase
2024-06-10,"RASHMI'S BAKERY BRAMPTON, ON",13.56,rashmisbakerybramptonon,purchase
2024-06-10,"PRESTO MOBL TORONTO, ON",20.0,prestomobltorontoon,purchase
2024-06-11,"ca.shein.com 888-8519181, ON",66.41,casheincomon,purchase
2024-06-12,"MINISO-ON-BRAMALEA BRAMPTON, ON",32.04,minisoonbramaleabramptonon,purchase
2024-06-13,"AROMA ESPRESSO BAR NORTH YORK, ON",8.7,aromaespressobarnorthyorkon,purchase
2024-06-13,"STARBUCKS 800-782-7282 800-782-7282, ON",15.0,starbuckson,purchase
2024-06-14,"PRESTO MOBL TORONTO, ON",20.0,prestomobltorontoon,purchase
2024-06-14,"UBER CANADA/UBEREATS TORONTO, ON",16.55,ubercanadaubereatstorontoon,purchase
2024-06-17,"SQ *SMASH Brampton, ON",26.95,sqsmashbramptonon,purchase
2024-06-17,"STARBUCKS 800-782-7282 800-782-7282, ON",15.0,starbuckson,purchase
2024-06-17,"STARBUCKS 800-782-7282 800-782-7282, ON",15.0,starbuckson,purchase
2024-06-17,"REXALL PHARMACY #0224 WILLOWDALE, ON",0.4,rexallpharmacywillowdaleon,purchase
2024-06-17,"NEWNHAM MAIN TORONTO, ON",7.8,newnhammaintorontoon,purchase
2024-06-17,"REXALL PHARMACY #0224 WILLOWDALE, ON",6.71,rexallpharmacywillowdaleon,purchase
2024-06-19,"SHANGHAI 360 UNION TORONTO, ON",11.85,shanghaiuniontorontoon,purchase
2024-06-19,"PRESTO MOBL TORONTO, ON",20.0,prestomobltorontoon,purchase
2024-06-19,"TIM HORTONS #4852 BRAMPTON, ON",3.14,timhortonsbramptonon,purchase
2024-06-20,"MCDONALD'S #40569 TORONTO, ON",4.19,mcdonaldstorontoon,purchase
2024-06-20,PAYMENT THANK YOU/PAIEMEN T MERCI,726.0,paymentthankyoupaiementmerci,payment
2024-06-20,"1080 ENERCARE CENTRE TORONTO, ON",5.93,enercarecentretorontoon,purchase
2024-06-20,"STARBUCKS 04636 TORONTO, ON",9.14,starbuckstorontoon,purchase
2024-06-20,Spotify P2D18D35BC Stockholm,6.77,spotifypddbcstockholm,purchase
2024-06-21,"TIM HORTONS #9436 TORONTO, ON",4.19,timhortonstorontoon,purchase
2024-06-21,"PRESTO MOBL TORONTO, ON",20.0,prestomobltorontoon,purchase
2024-06-21,"TIM HORTONS #4852 BRAMPTON, ON",6.97,timhortonsbramptonon,purchase
2024-06-21,"AROMA ESPRESSO BAR TORONTO, ON",11.75,aromaespressobartorontoon,purchase
2024-06-21,"AROMA ESPRESSO BAR TORONTO, ON",18.9,aromaespressobartorontoon,purchase
2024-06-21,"1080 ENERCARE CENTRE TORONTO, ON",5.93,enercarecentretorontoon,purchase
2024-06-21,"AMSTERDAM BREWHOUSE TORONTO, ON",66.61,amsterdambrewhousetorontoon,purchase
2024-06-24,"PRESTO MOBL TORONTO, ON",20.0,prestomobltorontoon,purchase
2024-06-24,"HAKKALICIOUS BRAMPTON, ON",31.16,hakkaliciousbramptonon,purchase
2024-06-24,"STARBUCKS 800-782-7282 800-782-7282, ON",15.0,starbuckson,purchase
2024-06-24,"ASHBY FIELD CONVENIENCE BRAMPTON, ON",4.35,ashbyfieldconveniencebramptonon,purchase
2024-06-24,"TIM HORTONS #4852 BRAMPTON, ON",11.59,timhortonsbramptonon,purchase
2024-06-24,"AZGA SERVICE CANADA INC CAMBRIDGE, ON",17.28,azgaservicecanadainccambridgeon,purchase
2024-06-24,"SHELL C21971 BRAMPTON, ON",21.05,shellcbramptonon,purchase
2024-06-24,"BUCK OR TWO PLUS #573 GEORGETOWN, ON",20.46,buckortwoplusgeorgetownon,purchase
2024-06-24,"TICKETMASTER CANADA HOST TORONTO, ON",235.5,ticketmastercanadahosttorontoon,purchase
2024-06-25,"WONDERLAND* GPM PURCHA VAUGHAN, ON",35.0,wonderlandgpmpurchavaughanon,purchase
2024-06-26,"TIM HORTONS #4852 BRAMPTON, ON",7.09,timhortonsbramptonon,purchase
2024-06-27,"BOSTON PIZZA #452 VAUGHAN, ON",37.74,bostonpizzavaughanon,purchase
2024-06-28,"TIM HORTONS #4852 BRAMPTON, ON",2.93,timhortonsbramptonon,purchase
2024-07-02,"STARBUCKS 800-782-7282 800-782-7282, ON",15.0,starbuckson,purchase
2024-07-02,"VIRGIN PLUS VERDUN, QC",46.33,virginplusverdunqc,purchase
2024-07-02,"STARBUCKS 800-782-7282 800-782-7282, ON",10.0,starbuckson,purchase
2024-07-05,"PRESTO MOBL TORONTO, ON",15.0,prestomobltorontoon,purchase
2024-07-08,"PAPI CHULO`S MEXICANA TORONTO, ON",14.29,papichulosmexicanatorontoon,purchase
2024-07-08,"Disney Plus Burbank, CA",13.55,disneyplusburbankca,purchase
2024-07-18,"TIM HORTONS #4852 905-457-6530, ON",12.94,timhortonson,purchase
2024-07-19,"STARBUCKS 800-782-7282 800-782-7282, ON",10.0,starbuckson,purchase
2024-07-19,PAYMENT THANK YOU/PAIEMEN T MERCI,768.0,paymentthankyoupaiementmerci,payment
2024-07-22,Spotify P2DDA6A6F2 Stockholm,6.77,spotifypddaafstockholm,purchase
2024-07-23,"SUBZI MANDI CASH & CAR BRAMPTON, ON",28.71,subzimandicashcarbramptonon,purchase
2024-07-23,"SUBZI MANDI CASH & CAR BRAMPTON, ON",5.99,subzimandicashcarbramptonon,purchase
2024-07-23,"PRESTO MOBL TORONTO, ON",30.0,prestomobltorontoon,purchase
2024-07-24,"MCDONALD'S #40397 BRAMPTON, ON",19.96,mcdonaldsbramptonon,purchase
2024-07-29,"VILLA CALEDON INN CALEDON EAST, ON",64.68,villacaledoninncaledoneaston,purchase
2024-07-29,"STARBUCKS 800-782-7282 800-782-7282, ON",10.0,starbuckson,purchase
2024-08-01,"IPPODO HTTPSIPPODOTE, DE",76.0,ippodohttpsippodotede,purchase
2024-08-02,"BATH & BODY WORKS #6009 TORONTO, ON",45.77,bathbodyworkstorontoon,purchase
2024-08-02,"NOT ANOTHER RESTAURANT MISSISSAUGA, ON",36.19,notanotherrestaurantmississaugaon,purchase
2024-08-02,"KIOKII TORONTO, ON",16.94,kiokiitorontoon,purchase
2024-08-02,"TIM HORTONS #4370 BRAMPTON, ON",2.58,timhortonsbramptonon,purchase
2024-08-06,"TST-Grab Bubble Tea Brampton, ON",27.3,tstgrabbubbleteabramptonon,purchase
2024-08-06,"THE ALLEY #2 TORONTO, ON",16.38,thealleytorontoon,purchase
2024-08-06,"Disney Plus Burbank, CA",13.55,disneyplusburbankca,purchase
2024-08-06,"DAIRY QUEEN # 12248 BRAMPTON, ON",5.07,dairyqueenbramptonon,purchase
2024-08-08,"SQ *A-OK CAFE Vaughan, ON",6.78,sqaokcafevaughanon,purchase
2024-08-08,"MINISO-ON-VAUGHAN MILLS CONCORD, ON",28.22,minisoonvaughanmillsconcordon,purchase
2024-08-08,"SOUTH ST. BURGER(VAUGHAN CONCORD, ON",7.86,southstburgervaughanconcordon,purchase
2024-08-08,"BRAMPTON PUBLIC LIBRARY B BRAMPTON, ON",5.0,bramptonpubliclibrarybbramptonon,purchase
2024-08-08,"PRESTO MOBL TORONTO, ON",30.0,prestomobltorontoon,purchase
2024-08-08,"INDRAPRASTHA INDIAN KITC TORONTO, ON",10.16,indraprasthaindiankitctorontoon,purchase
2024-08-08,"INDRAPRASTHA INDIAN KITC TORONTO, ON",11.7,indraprasthaindiankitctorontoon,purchase
2024-08-08,"FORGET ME NOT CAFE TORONTO, ON",7.86,forgetmenotcafetorontoon,purchase
2024-08-08,"SHOP MAKERS VANCOUVER, BC",48.59,shopmakersvancouverbc,purchase
2024-08-08,"The Body Shop Canada Limi Vaughan, ON",18.08,thebodyshopcanadalimivaughanon,purchase
2024-08-09,"SHOPPERS DRUG MART#137 CONCORD, ON",9.0,shoppersdrugmartconcordon,purchase
2024-08-09,"SZECHUAN SZECHUAN CONCORD, ON",3.68,szechuanszechuanconcordon,purchase
2024-08-09,"SQ *A-OK CAFE Vaughan, ON",6.78,sqaokcafevaughanon,purchase
2024-08-09,"PRESTO ST PATRICK STN TORONTO, ON",3.35,prestostpatrickstntorontoon,purchase
2024-08-09,"SQ *A-OK CAFE Vaughan, ON",3.96,sqaokcafevaughanon,purchase
2024-08-12,"UBER CANADA/UBEREATS TORONTO, ON",34.21,ubercanadaubereatstorontoon,purchase
2024-08-12,"PETRO CANADA34462 BRAMPTON, ON",20.0,petrocanadabramptonon,purchase
2024-08-14,"RAJDHANI SWEETS & REST BRAMPTON, ON",6.73,rajdhanisweetsrestbramptonon,purchase
2024-08-14,"TIM HORTONS #4852 BRAMPTON, ON",8.57,timhortonsbramptonon,purchase
2024-08-16,"BURGER KING #17789 647-388-8702, ON",19.41,burgerkingon,purchase
2024-08-19,"ASHBY FIELD CONVENIENCE BRAMPTON, ON",5.99,ashbyfieldconveniencebramptonon,purchase
2024-08-19,"APPLE.COM/BILL 866-712-7753, ON",2.81,applecombillon,purchase
2024-08-19,"AROMA ESPRESSO BAR VAUGHAN, ON",45.0,aromaespressobarvaughanon,purchase
2024-08-19,"TIM HORTONS #4852 BRAMPTON, ON",5.18,timhortonsbramptonon,purchase
2024-08-19,"UBER CANADA/UBEREATS TORONTO, ON",47.01,ubercanadaubereatstorontoon,purchase
2024-08-20,PAYMENT THANK YOU/PAIEMEN T MERCI,719.0,paymentthankyoupaiementmerci,payment
2024-08-20,"VIRGIN PLUS VERDUN, QC",51.98,virginplusverdunqc,purchase
2024-08-20,Spotify P2EB21BD71 Stockholm,6.77,spotifypebbdstockholm,purchase
2024-08-20,"TIM HORTONS #4852 905-457-6530, ON",3.14,timhortonson,purchase
2024-08-21,"PRESTO APPL/5F31F56BJT TORONTO, ON",10.0,prestoapplffbjttorontoon,purchase
2024-08-22,"NEWNHAM MAIN TORONTO, ON",6.5,newnhammaintorontoon,purchase
2024-08-23,"PRESTO MOBI/5F3BM3TC6P TORONTO, ON",20.0,prestomobifbmtcptorontoon,purchase
2024-08-23,"RAJDHANI SWEETS AND RESTA BRAMPTON, ON",29.18,rajdhanisweetsandrestabramptonon,purchase
2024-08-26,"FOREST CAFE TORONTO, ON",15.44,forestcafetorontoon,purchase
2024-08-26,"KFC #1927 NORTH YORK, ON",21.35,kfcnorthyorkon,purchase
2024-08-26,"UBER CANADA/UBEREATS TORONTO, ON",33.01,ubercanadaubereatstorontoon,purchase
2024-08-26,"DESI ROAD BRAMPTON, ON",38.28,desiroadbramptonon,purchase
2024-08-26,"SQ *SMASH Brampton, ON",2.2,sqsmashbramptonon,purchase
2024-08-26,"BURGER KING #17789 647-388-8702, ON",5.18,burgerkingon,purchase
2024-08-27,"UBER CANADA/UBEREATS TORONTO, ON",31.85,ubercanadaubereatstorontoon,purchase
2024-08-28,"UBER CANADA/UBEREATS TORONTO, ON",23.5,ubercanadaubereatstorontoon,purchase
2024-08-28,"SHEIN.COM Toronto, ON",80.41,sheincomtorontoon,purchase
2024-08-29,"TIM HORTONS #4852 905-457-6530, ON",3.66,timhortonson,purchase
2024-08-29,"SHANGHAI 360 UNION TORONTO, ON",13.55,shanghaiuniontorontoon,purchase
2024-08-29,"SELECT BAKERY EAST YORK, ON",9.61,selectbakeryeastyorkon,purchase
2024-08-29,"SMART SERVE ONTARIO MISSISAUGA, ON",44.95,smartserveontariomissisaugaon,purchase
2024-08-29,"PRESTO MOBI/5F4D57KQ5V TORONTO, ON",30.0,prestomobifdkqvtorontoon,purchase
2024-08-30,"UBER CANADA/UBEREATS TORONTO, ON",22.16,ubercanadaubereatstorontoon,purchase
2024-09-03,"MICHAELS #3989 MILTON, ON",11.84,michaelsmiltonon,purchase
2024-09-03,"TURTLE JACKS MILTON MILTON, ON",35.32,turtlejacksmiltonmiltonon,purchase
2024-09-03,"TIM HORTONS #4852 905-457-6530, ON",3.14,timhortonson,purchase
2024-09-03,"TIM HORTONS #4852 905-457-6530, ON",2.61,timhortonson,purchase
2024-09-04,"MACMILLAN LEARNING 8883308477, NY",51.97,macmillanlearningny,purchase
2024-09-05,"SQUARE ONE INSURANCE SERV VANCOUVER, BC",50.74,squareoneinsuranceservvancouverbc,purchase
2024-09-05,"NEWNHAM MAIN TORONTO, ON",5.72,newnhammaintorontoon,purchase
2024-09-06,"BURGER KING #17789 BRAMPTON, ON",36.1,burgerkingbramptonon,purchase
2024-09-06,"IKEA NORTH YORK NORTH YORK, ON",374.24,ikeanorthyorknorthyorkon,purchase
2024-09-06,"Disney Plus Burbank, CA",13.55,disneyplusburbankca,purchase
2024-09-09,"ESSO CIRCLE K NORTH YORK, ON",30.0,essocircleknorthyorkon,purchase
2024-09-09,"UBER CANADA/UBERTRIP TORONTO, ON",8.94,ubercanadaubertriptorontoon,purchase
2024-09-09,"PRESTO MOBI/5F6512D7BK TORONTO, ON",30.0,prestomobifdbktorontoon,purchase
2024-09-09,"WAL-MART SUPERCENTER#1079 BRAMPTON, ON",110.08,walmartsupercenterbramptonon,purchase
2024-09-09,"DOLLARAMA #1165 NORTH YORK, ON",85.4,dollaramanorthyorkon,purchase
2024-09-10,"METRO 52 NORTH YORK, ON",151.6,metronorthyorkon,purchase
2024-09-11,"NEWNHAM MAIN TORONTO, ON",3.14,newnhammaintorontoon,purchase
2024-09-11,"BURGER KING #709 TORONTO, ON",7.2,burgerkingtorontoon,purchase
2024-09-13,"TCF CANADA INC 5679 NORTH YORK, ON",20.67,tcfcanadaincnorthyorkon,purchase
2024-09-13,"TST-Via Cibo - York Mi Toronto, ON",47.24,tstviaciboyorkmitorontoon,purchase
2024-09-16,"NEWNHAM MAIN TORONTO, ON",8.74,newnhammaintorontoon,purchase
2024-09-17,"McDonalds 40072 TORONTO, ON",11.27,mcdonaldstorontoon,purchase
2024-09-18,"APPLE.COM/BILL 866-712-7753, ON",2.81,applecombillon,purchase
2024-09-19,"PRESTO MOBI/5F8CC2QDNZ TORONTO, ON",20.0,prestomobifccqdnztorontoon,purchase
2024-09-20,PAYMENT THANK YOU/PAIEMEN T MERCI,1708.0,paymentthankyoupaiementmerci,payment
2024-09-20,"BEAVERTAILS TORONTO WATER TORONTO, ON",7.86,beavertailstorontowatertorontoon,purchase
2024-09-20,Spotify P30083ED02 Stockholm,6.77,spotifypedstockholm,purchase
2024-09-20,"TST-Matcha Matcha - 40 Toronto, ON",7.91,tstmatchamatchatorontoon,purchase
2024-09-23,"JOHN & DANIELLE'S NO F NORTH YORK, ON",46.73,johndaniellesnofnorthyorkon,purchase
2024-09-23,"SEPHORA YORKDALE TORONTO, ON",45.77,sephorayorkdaletorontoon,purchase
2024-09-23,"APPLE STORE #R120 TORONTO, ON",81.37,applestorertorontoon,purchase
2024-09-23,"HM Yorkdale Toronto, ON",37.28,hmyorkdaletorontoon,purchase
2024-09-23,"PRESTO MOBI/5F8M67QLW7 TORONTO, ON",20.0,prestomobifmqlwtorontoon,purchase
2024-09-23,"NBA COURTSIDE RESTAURA TORONTO, ON",12.0,nbacourtsiderestauratorontoon,purchase
2024-09-23,"AMAYA REAL INDIAN FOOD SCARBOROUGH, ON",22.35,amayarealindianfoodscarboroughon,purchase
2024-09-25,"NEWNHAM MAIN TORONTO, ON",8.36,newnhammaintorontoon,purchase
2024-09-25,"PRESTO MOBI/5F9FL2FHBC TORONTO, ON",20.0,prestomobifflfhbctorontoon,purchase
2024-09-26,"NEWNHAM MAIN TORONTO, ON",6.53,newnhammaintorontoon,purchase
2024-10-01,"NEWNHAM MAIN TORONTO, ON",5.3,newnhammaintorontoon,purchase
2024-10-01,"JOHN & DANIELLE'S NO F NORTH YORK, ON",72.49,johndaniellesnofnorthyorkon,purchase
2024-10-01,"KFC #1929 NORTH YORK, ON",29.36,kfcnorthyorkon,purchase
2024-10-01,"PRESTO MOBI/5F222FNXNF TORONTO, ON",15.0,prestomobiffnxnftorontoon,purchase
2024-10-02,"NEWNHAM MAIN TORONTO, ON",3.14,newnhammaintorontoon,purchase
2024-10-02,"PRESTO MOBI/5F2756VJG6 TORONTO, ON",20.0,prestomobifvjgtorontoon,purchase
2024-10-03,"NEWNHAM MAIN TORONTO, ON",3.14,newnhammaintorontoon,purchase
2024-10-03,"UBER* TRIP UBER.COM/CA/E, ON",37.5,ubertripubercomcaeon,purchase
2024-10-09,"PRESTO MOBI/5FC856S55J TORONTO, ON",20.0,prestomobifcsjtorontoon,purchase
2024-10-10,"SHOPPERS DRUG MART #83 TORONTO, ON",64.82,shoppersdrugmarttorontoon,purchase
2024-10-10,"JOHN & DANIELLE'S NO F NORTH YORK, ON",24.09,johndaniellesnofnorthyorkon,purchase
2024-10-10,"STARBUCKS 04703 TORONTO, ON",10.19,starbuckstorontoon,purchase
2024-10-11,"DOLLARAMA # 567 TORONTO, ON",41.25,dollaramatorontoon,purchase
2024-10-15,"MCDONALD'S #12721 Q04 NORTH YORK, ON",7.11,mcdonaldsqnorthyorkon,purchase
2024-10-15,"PRESTO MOBI/5FCMK7TQ8R TORONTO, ON",20.0,prestomobifcmktqrtorontoon,purchase
2024-10-15,"YOUR DOLLAR STORE WITH MO NORTH YORK, ON",8.19,yourdollarstorewithmonorthyorkon,purchase
2024-10-15,"SQ *EARLS YORKDALE Toronto, ON",31.67,sqearlsyorkdaletorontoon,purchase
2024-10-15,"BLUE MTN FOOD & BEVERA BLUE MOUNTAIN, ON",12.57,bluemtnfoodbeverabluemountainon,purchase
2024-10-15,"UBER CANADA/UBERTRIP TORONTO, ON",17.1,ubercanadaubertriptorontoon,purchase
2024-10-15,"COCA COLA BRAMPTON ON BRAMPTON, ON",4.25,cocacolabramptononbramptonon,purchase
2024-10-16,"KRISPY KREME #554 TORONTO, ON",3.89,krispykremetorontoon,purchase
2024-10-16,"FIRST AND LAST COFFEE SHO TORONTO, ON",13.8,firstandlastcoffeeshotorontoon,purchase
2024-10-16,"METRO 52 NORTH YORK, ON",67.22,metronorthyorkon,purchase
2024-10-17,"SHOPPERS DRUG MART #12 TORONTO, ON",22.59,shoppersdrugmarttorontoon,purchase
2024-10-18,"JOHN & DANIELLE'S NO F NORTH YORK, ON",55.49,johndaniellesnofnorthyorkon,purchase
2024-10-18,"APPLE.COM/BILL 866-712-7753, ON",2.81,applecombillon,purchase
2024-10-21,"JOHN & DANIELLE'S NO F NORTH YORK, ON",34.88,johndaniellesnofnorthyorkon,purchase
2024-10-21,Spotify P30D0A6A2C Stockholm,6.77,spotifypdaacstockholm,purchase
